"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 3618","","They defined a victimhood culture as having three distinct attributes: First, “individuals and groups display high sensitivity to slight”; second, they “have a tendency to handle conflicts through complaints to third parties”; and third, they “seek to cultivate an image of being victims who deserve assistance.”"
"Highlight (Yellow)","Location 3634","","The growth of campus bureaucracy and the expansion of its protective mission is our fifth explanatory thread."
"Highlight (Yellow)","Location 3741","","Intuitive justice is the combination of distributive justice (the perception that people are getting what is deserved) and procedural justice (the perception that the process by which things are distributed and rules are enforced is fair and trustworthy)."
"Highlight (Yellow)","Location 3806","","from the National Association of Social Workers: “Social justice is the view that everyone deserves equal economic, political and social rights and opportunities. Social workers aim to open the doors of access and opportunity for everyone, particularly those in greatest need.”"
"Highlight (Yellow)","Location 3810","","Much of the left-right divide on social policy involves how far the government should go to equalize opportunity for children who are born into unequal circumstances (and whether it is the federal government, state governments, or local governments that should be responsible for that equalization)."
"Highlight (Yellow)","Location 3813","","proportional-procedural social justice as the effort to find and fix cases where distributive or procedural justice is denied to people because they were born into poverty or belong to a socially disadvantaged category."
"Highlight (Yellow)","Location 3820","","This is why common-humanity identity politics—which emphasizes an overarching common humanity while calling attention to cases in which people are denied dignity and rights—was ultimately so effective. It did not try to force white Americans to accept a new conception of justice; it tried to help white Americans to see that their country was violating its own conceptions of justice, which had been so nobly expressed by the Founding Fathers but so imperfectly realized."
"Highlight (Yellow)","Location 3912","","When the federal government pressures universities to achieve equal outcomes in the face of unequal inputs, administrators do what they can to protect the institution. That might require them to violate procedural justice, distributive justice, and honesty along the way."
"Highlight (Yellow)","Location 3926","","This is why quotas generally produce such strong backlash: they mandate a violation of procedural justice (people are treated differently based on their race, sex, or some other factor) and distributive justice (rewards are not proportional to inputs) to achieve a specific end-state of equal outcomes."
"Highlight (Yellow)","Location 3950","","But a funny thing has been happening in recent years on campus. Nowadays, when someone points to an outcome gap and makes the claim (implicitly or explicitly) that the gap itself is evidence of systemic injustice, social scientists often just nod along with everyone else in the room."
"Highlight (Yellow)","Location 3967","","If professors and students are hesitant to raise alternative explanations for outcome gaps, then theories about those gaps may harden into orthodoxy."
"Highlight (Yellow)","Location 3982","","But if activists embrace the equal-outcomes form of social justice—if they interpret all deviations from population norms as evidence of systemic bias—then they will get drawn into endless and counterproductive campaigns, even against people who share their goals. Along the way, they will reinforce the bad mental habits that we have described throughout the book."
"Highlight (Yellow)","Location 4047","","summarizes the book’s most important single piece of advice: Prepare the child for the road, not the road for the child. That is eternally good advice, but it became even better once the internet came along and part of the road became virtual. It was foolish to think one could clear the road for one’s child before the internet. Now it is delusional. To return to the example of peanut allergies: kids need to develop a normal immune response, rather than an allergic response, to the everyday irritations and provocations of life, including life on the internet."
"Highlight (Yellow)","Location 4108","","Frame it as a debate, rather than a conflict. Argue as if you’re right, but listen as if you’re wrong (and be willing to change your mind). Make the most respectful interpretation of the other person’s perspective. Acknowledge where you agree with your critics and what you’ve learned from them."
"Highlight (Yellow)","Location 4160","","Give people the benefit of the doubt. Use the “principle of charity.” This is the principle in philosophy and rhetoric of making an effort to interpret other people’s statements in their best or most reasonable form, not in the worst or most offensive way possible. Parents can model the principle of charity by using it in family discussions and arguments."
"Highlight (Yellow)","Location 4164","","Practice the virtue of “intellectual humility.” Intellectual humility is the recognition that our reasoning is so flawed, so prone to bias, that we can rarely be certain that we are right."
"Highlight (Yellow)","Location 4170","","We are all wrong about many things at every moment, but until we know it, we are often quite certain that we are right. Having people around us who are willing to disagree with us is a gift. So when you realize you are wrong, admit that you are wrong, and thank your critics for helping you see it."
"Highlight (Yellow)","Location 4174","","Or is it more like common-enemy identity politics, which encourages kids to see one another not as individuals but as exemplars of groups, some of which are good, some bad?"
"Highlight (Yellow)","Location 4331","","The truth is powerful, yet the process by which we arrive at truth is easily corrupted by the desires of the seekers and the social dynamics of the community. If a university is united around a telos of change or social progress, scholars will be motivated to reach conclusions that are consistent with that vision, and the community will impose social costs on those who reach different conclusions—or who merely ask the wrong questions, as we saw in chapters 4 and 5. There will always be inconvenient facts for any political agenda, and you can judge a university, or an academic field, by how it handles its dissenters."
"Highlight (Yellow)","Location 4490","","You have to look at six interacting trends: rising political polarization; rising rates of adolescent depression and anxiety; a shift to more fearful, protective, and intensive parenting in middle-class and wealthy families; widespread play deprivation and risk deprivation for members of iGen; an expanding campus bureaucracy taking an increasingly overprotective posture; and a rising passion for justice combined with a growing commitment to attaining “equal outcomes”"
