"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 1033","","People often choose products not because of what they are, but because of where they are."
"Highlight (Yellow)","Location 1036","","Your habits change depending on the room you are in and the cues in front of you."
"Highlight (Yellow)","Location 1064","","You don’t have to be the victim of your environment. You can also be the architect of it."
"Highlight (Yellow)","Location 1103","","Our behavior is not defined by the objects in the environment but by our relationship to them. In fact, this is a useful way to think about the influence of the environment on your behavior. Stop thinking about your environment as filled with objects. Start thinking about it as filled with relationships."
"Highlight (Yellow)","Location 1130","","Whenever possible, avoid mixing the context of one habit with another. When you start mixing contexts, you’ll start mixing habits—and the easier ones will usually win out."
"Highlight (Yellow)","Location 1144","","Every habit is initiated by a cue. We are more likely to notice cues that stand out. Make the cues of good habits obvious in your environment."
"Highlight (Yellow)","Location 1145","","Gradually, your habits become associated not with a single trigger but with the entire context surrounding the behavior. The context becomes the cue. It is easier to build new habits in a new environment because you are not fighting against old cues."
"Highlight (Yellow)","Location 1171","","Recent research, however, shows something different. When scientists analyze people who appear to have tremendous self-control, it turns out those individuals aren’t all that different from those who are struggling. Instead, “disciplined” people are better at structuring their lives in a way that does not require heroic willpower and self-control. In other words, they spend less time in tempting situations."
"Highlight (Yellow)","Location 1175","","It’s easier to practice self-restraint when you don’t have to use it very often."
"Highlight (Yellow)","Location 1204","","Rather than make it obvious, you can make it invisible."
"Highlight (Yellow)","Location 1207","","Instead of summoning a new dose of willpower whenever you want to do the right thing, your energy would be better spent optimizing your environment. This is the secret to self-control. Make the cues of your good habits obvious and the cues of your bad habits invisible."
"Highlight (Yellow)","Location 1286","","We have the brains of our ancestors but temptations they never had to face."
"Highlight (Yellow)","Location 1312","","It is the anticipation of a reward—not the fulfillment of it—that gets us to take action."
"Highlight (Yellow)","Location 1334","","We need to make our habits attractive because it is the expectation of a rewarding experience that motivates us to act in the first place."
"Highlight (Yellow)","Location 1382","","Temptation bundling is one way to make your habits more attractive. The strategy is to pair an action you want to do with an action you need to do."
"Highlight (Yellow)","Location 1407","","whatever habits are normal in your culture are among the most attractive behaviors you’ll find."
"Highlight (Yellow)","Location 1444","","One of the most effective things you can do to build better habits is to join a culture where your desired behavior is the normal behavior."
"Highlight (Yellow)","Location 1447","","Surround yourself with people who have the habits you want to have yourself. You’ll rise together."
"Highlight (Yellow)","Location 1491","","When changing your habits means challenging the tribe, change is unattractive. When changing your habits means fitting in with the tribe, change is very attractive."
"Highlight (Yellow)","Location 1550","","A craving is just a specific manifestation of a deeper underlying motive. Your brain did not evolve with a desire to smoke cigarettes or to check Instagram or to play video games. At a deep level, you simply want to reduce uncertainty and relieve anxiety, to win social acceptance and approval, or to achieve status."
"Highlight (Yellow)","Location 1559","","Your current habits are not necessarily the best way to solve the problems you face; they are just the methods you learned to use. Once you associate a solution with the problem you need to solve, you keep coming back to it."
"Highlight (Yellow)","Location 1579","","A craving is the sense that something is missing. It is the desire to change your internal state."
"Note","Location 1579","","E.g. This would be better if I was stoned"
"Highlight (Yellow)","Location 1587","","To summarize, the specific cravings you feel and habits you perform are really an attempt to address your fundamental underlying motives. Whenever a habit successfully addresses a motive, you develop a craving to do it again. In time, you learn to predict that checking social media will help you feel loved or that watching YouTube will allow you to forget your fears."
"Highlight (Yellow)","Location 1693","","Motion makes you feel like you’re getting things done. But really, you’re just preparing to get something done. When preparation becomes a form of procrastination, you need to change something. You don’t want to merely be planning. You want to be practicing."
"Highlight (Yellow)","Location 1743","","The most effective form of learning is practice, not planning."
"Highlight (Yellow)","Location 1772","","Conventional wisdom holds that motivation is the key to habit change. Maybe if you really wanted it, you’d actually do it. But the truth is, our real motivation is to be lazy and to do what is convenient. And despite what the latest productivity best seller will tell you, this is a smart strategy, not a dumb one."
"Highlight (Yellow)","Location 1783","","Look at any behavior that fills up much of your life and you’ll see that it can be performed with very low levels of motivation. Habits like scrolling on our phones, checking email, and watching television steal so much of our time because they can be performed almost without effort. They are remarkably convenient."
"Highlight (Yellow)","Location 1794","","The less friction you face, the easier it is for your stronger self to emerge. The idea behind make it easy is not to only do easy things. The idea is to make it as easy as possible in the moment to do things that payoff in the long run."
"Highlight (Yellow)","Location 1835","","Much of the battle of building better habits comes down to finding ways to reduce the friction associated with our good habits and increase the friction associated with our bad ones."
"Highlight (Yellow)","Location 1845","","Whenever you organize a space for its intended purpose, you are priming it to make the next action easy."
"Note","Location 1845","","TIdyng the room your everytime  n itt"
"Highlight (Yellow)","Location 1891","","Habits are automatic choices that influence the conscious decisions that follow. Yes, a habit can be completed in just a few seconds, but it can also shape the actions that you take for minutes or hours afterward."
"Highlight (Yellow)","Location 1923","","The idea is to make your habits as easy as possible to start. Anyone can meditate for one minute, read one page, or put one item of clothing away. And, as we have just discussed, this is a powerful strategy because once you’ve started doing the right thing, it is much easier to continue doing it."
"Highlight (Yellow)","Location 1947","","Instead of trying to engineer a perfect habit from the start, do the easy thing on a more consistent basis. You have to standardize before you can optimize."
"Highlight (Yellow)","Location 1952","","By developing a consistent power-down habit, you make it easier to get to bed at a reasonable time each night. You may not be able to automate the whole process, but you can make the first action mindless. Make it easy to start and the rest will follow."
"Highlight (Yellow)","Location 1962","","Journaling provides another example. Nearly everyone can benefit from getting their thoughts out of their head and onto paper, but most people give up after a few days or avoid it entirely because journaling feels like a chore.* The secret is to always stay below the point where it feels like work. Greg McKeown, a leadership consultant from the United Kingdom, built a daily journaling habit by specifically writing less than he felt like. He always stopped journaling before it seemed like a hassle. Ernest Hemingway believed in similar advice for any kind of writing. “The best way is to always stop when you are going good,” he said."
"Highlight (Yellow)","Location 1999","","Habits can be completed in a few seconds but continue to impact your behavior for minutes or hours afterward."
"Highlight (Yellow)","Location 2001","","The Two-Minute Rule states, “When you start a new habit, it should take less than two minutes to do.”"
"Highlight (Yellow)","Location 2002","","The more you ritualize the beginning of a process, the more likely it becomes that you can slip into the state of deep focus that is required to do great things."
"Highlight (Yellow)","Location 2003","","Standardize before you optimize. You can’t improve a habit that doesn’t exist."
"Highlight (Yellow)","Location 2014","","Sometimes success is less about making good habits easy and more about making bad habits hard."
"Highlight (Yellow)","Location 2017","","A commitment device is a choice you make in the present that controls your actions in the future. It is a way to lock in future behavior, bind you to good habits, and restrict you from bad ones."
"Highlight (Yellow)","Location 2028","","The key is to change the task such that it requires more work to get out of the good habit than to get started on it."
"Highlight (Yellow)","Location 2047","","The best way to break a bad habit is to make it impractical to do. Increase the friction until you don’t even have the option to act."
"Highlight (Yellow)","Location 2174","","We are more likely to repeat a behavior when the experience is satisfying. This is entirely logical. Feelings of pleasure—even minor ones like washing your hands with soap that smells nice and lathers well—are signals that tell the brain: “This feels good. Do this again, next time.” Pleasure teaches your brain that a behavior is worth remembering and repeating."
"Highlight (Yellow)","Location 2258","","Reinforcement ties your habit to an immediate reward, which makes it satisfying when you finish."
"Highlight (Yellow)","Location 2277","","through. Incentives can start a habit. Identity sustains a habit."
"Highlight (Yellow)","Location 2316","","Habit tracking is powerful because it leverages multiple Laws of Behavior Change. It simultaneously makes a behavior obvious, attractive, and satisfying."
"Highlight (Yellow)","Location 2323","","The mere act of tracking a behavior can spark the urge to change it."
"Highlight (Yellow)","Location 2324","","Measurement offers one way to overcome our blindness to our own behavior and notice what’s really going on each day."
"Highlight (Yellow)","Location 2328","","The most effective form of motivation is progress. When we get a signal that we are moving forward, we become more motivated to continue down that path."
"Highlight (Yellow)","Location 2338","","habit tracking (1) creates a visual cue that can remind you to act, (2) is inherently motivating because you see the progress you are making and don’t want to lose it, and (3) feels satisfying whenever you record another successful instance of your habit."
"Highlight (Yellow)","Location 2350","","First, whenever possible, measurement should be automated."
"Highlight (Yellow)","Location 2352","","Once you know where to get the data, add a note to your calendar to review it each week or each month, which is more practical than tracking it every day."
"Highlight (Yellow)","Location 2354","","Second, manual tracking should be limited to your most important habits. It is better to consistently track one habit than to sporadically track ten."
"Highlight (Yellow)","Location 2355","","Finally, record each measurement immediately after the habit occurs. The completion of the behavior is the cue to write it down."
"Highlight (Yellow)","Location 2371","","Missing once is an accident. Missing twice is the start of a new habit."
"Highlight (Yellow)","Location 2374","","Too often, we fall into an all-or-nothing cycle with our habits. The problem is not slipping up; the problem is thinking that if you can’t do something perfectly, then you shouldn’t do it at all."
"Highlight (Yellow)","Location 2381","","Don’t put up a zero. Don’t let losses eat into your compounding."
"Highlight (Yellow)","Location 2382","","Furthermore, it’s not always about what happens during the workout. It’s about being the type of person who doesn’t miss workouts."
"Highlight (Yellow)","Location 2384","","Going to the gym for five minutes may not improve your performance, but it reaffirms your identity."
"Highlight (Yellow)","Location 2488","","Thomas Frank, an entrepreneur in Boulder, Colorado, wakes up at 5:55 each morning. And if he doesn’t, he has a tweet automatically scheduled that says, “It’s 6:10 and I’m not up because I’m lazy! Reply to this for $5 via PayPal (limit 5), assuming my alarm didn’t malfunction.”"
"Highlight (Yellow)","Location 2611","","You don’t have to build the habits everyone tells you to build. Choose the habit that best suits you, not the one that is most popular."
"Highlight (Yellow)","Location 2617","","In practice, you are more likely to enjoy the things that come easily to you."
"Highlight (Yellow)","Location 2659","","“Everyone has at least a few areas in which they could be in the top 25% with some effort."
"Highlight (Yellow)","Location 2682","","People get so caught up in the fact that they have limits that they rarely exert the effort required to get close to them."
"Highlight (Yellow)","Location 2690","","Habits are easier when they align with your natural abilities. Choose the habits that best suit you."
"Highlight (Yellow)","Location 2724","","The Goldilocks Rule states that humans experience peak motivation when working on tasks that are right on the edge of their current abilities. Not too hard. Not too easy. Just right."
"Highlight (Yellow)","Location 2743","","boredom is perhaps the greatest villain on the quest for self-improvement."
"Highlight (Yellow)","Location 2753","","But this coach was saying that really successful people feel the same lack of motivation as everyone else. The difference is that they still find a way to show up despite the feelings of boredom."
"Highlight (Yellow)","Location 2757","","The greatest threat to success is not failure but boredom."
"Highlight (Yellow)","Location 2770","","The sweet spot of desire occurs at a 50/50 split between success and failure. Half of the time you get what you want. Half of the time you don’t. You need just enough “winning” to experience satisfaction and just enough “wanting” to experience desire."
"Highlight (Yellow)","Location 2786","","When a habit is truly important to you, you have to be willing to stick to it in any mood. Professionals take action even when the mood isn’t right. They might not enjoy it, but they find a way to put the reps in."
"Highlight (Yellow)","Location 2790","","The only way to become excellent is to be endlessly fascinated by doing the same thing over and over. You have to fall in love with boredom."
"Highlight (Yellow)","Location 2802","","Each chunk of information that is memorized opens up the mental space for more effortful thinking."
"Highlight (Yellow)","Location 2816","","Habits + Deliberate Practice = Mastery"
"Highlight (Yellow)","Location 2915","","The more you let a single belief define you, the less capable you are of adapting when life challenges you."
"Highlight (Yellow)","Location 2937","","Life is constantly changing, so you need to periodically check in to see if your old habits and beliefs are still serving you. A lack of self-awareness is poison. Reflection and review is the antidote."
"Highlight (Yellow)","Location 2954","","Gradually, though, as you continue to layer small changes on top of one another, the scales of life start to move. Each improvement is like adding a grain of sand to the positive side of the scale, slowly tilting things in your favor. Eventually, if you stick with it, you hit a tipping point. Suddenly, it feels easier to stick with good habits. The weight of the system is working for you rather than against you."
"Highlight (Yellow)","Location 2995","","a four-step model for human behavior: cue, craving, response, reward."
"Highlight (Yellow)","Location 3003","","Awareness comes before desire. A craving is created when you assign meaning to a cue. Your brain constructs an emotion or feeling to describe your current situation, and that means a craving can only occur after you have noticed an opportunity."
"Highlight (Yellow)","Location 3007","","Happiness is the state you enter when you no longer want to change your state."
"Highlight (Yellow)","Location 3008","","However, happiness is fleeting because a new desire always comes along. As Caed Budris says, “Happiness is the space between one desire being fulfilled and a new desire forming.” Likewise, suffering is the space between craving a change in state and getting it."
"Highlight (Yellow)","Location 3018","","Friedrich Nietzsche, the German philosopher and poet, famously wrote, “He who has a why to live for can bear almost any how.”"
"Highlight (Yellow)","Location 3024","","Emotions drive behavior. Every decision is an emotional decision at some level. Whatever your logical reasons are for taking action, you only feel compelled to act on them because of emotion. In fact, people with damage to emotional centers of the brain can list many reasons for taking action but still will not act because they do not have emotions to drive them. This is why craving comes before response. The feeling comes first, and then the behavior."
"Highlight (Yellow)","Location 3027","","We can only be rational and logical after we have been emotional. The primary mode of the brain is to feel; the secondary mode is to think. Our first response—the fast, nonconscious portion of the brain—is optimized for feeling and anticipating. Our second response—the slow, conscious portion of the brain—is the part that does the “thinking.” Psychologists refer to this as System 1 (feelings and rapid judgments) versus System 2 (rational analysis). The feeling comes first (System 1); the rationality only intervenes later (System 2). This"
"Highlight (Yellow)","Location 3033","","Two people can notice the same set of facts and respond very differently because they run those facts through their unique emotional filter."
"Highlight (Yellow)","Location 3039","","The source of all suffering is the desire for a change in state. This is also the source of all progress. The desire to change your state is what powers you to take action."
"Highlight (Yellow)","Location 3042","","If you keep saying something is a priority but you never act on it, then you don’t really want it."
"Highlight (Yellow)","Location 3055","","“Being poor is not having too little, it is wanting more.”"
"Highlight (Yellow)","Location 3069","","Feeling motivated gets you to act. Feeling successful gets you to repeat."
